Model,Case Name,Petitioner,Respondent,Issue Presented,Facts of the Case,Ruling by Lower Court,Argument,Statute,Rules,Precedent,Ratio of the Decision,Ruling
Falcon-7b,Amarendra Komalam Vs. Usha Sinha,Amarendra Komalam,Usha Sinha,Can the renewal clause interpolation issue be re-litigated after having been expressly waived in a prior case and upheld by the Supreme Court?,The dispute concerns the renewal clause of a lease agreement executed on 02.09.1978.,"he Lower Court and High Court ruled in favor of the respondent, despite the prior Supreme Court decision.","Petitioner argues that the issue is barred by res judicata, waiver, estoppel and the clause was altered fraudulently and should be examined.",Res Judicata Doctrine under CPC to Prevents re-litigation of the same matter.,"Prior acceptance of a legal position prevents reassertion.Order 7, Rule 11 of CPC.",Supreme Courtâ€™s decision in S.L.P.(C) No. 16513 of 2001.,"Principle of Finality – Once waived, an issue cannot be revived in subsequent cases.",High Court ruling contradicts established legal precedent.
Falcon-7b,"Karnataka Rare Earth Vs. The Senior Geologist, Department of Mines and Geology and Anr",Karnataka Rare Earth and Another,"Senior Geologist, Department of Mines and Geology and Another",Does the demand for the price of mineral raised and exported amount to a penalt.,"The court held that the demand for mineral price was compensatory, not a penalty, as marginal notes do not control statutory meaning.","The High Court dismissed the appeals, affirming that the recovery was compensatory and not penal.",Petitioner claims arbitrary rejection and lack of due process.,"Mines and Minerals (Development & Regulation) Act, 1957.","Rule 24A of Mineral Concession Rules, 1960.",Previous Supreme Court ruling on discretionary powers in mining leases.,Environmental concerns outweigh commercial interests.,Supreme Court upheld the government decision.
Falcon-7b,Rajesh Kumar and Ors Vs. Deputy Commissioner of Income Tax and Ors,Rajesh Kumar and Ors,Deputy Commissioner of Income Tax and Ors,Validity of a special audit order under Section 142(2A) of the Income Tax Act was procedurally and legally justified.,"The appellants’ premises were raided in 2002, with financial records being seized. A notice for undisclosed income was issued, followed by a special audit order.The audit was based on discrepancies in accounting records.",Tribunal upheld the special audit order.,Petitioner argued that there was no justification for the special audit and it was arbitrary.,"Income Tax Act, 1961.",Section 142(2A) of the Income Tax Act.,Supreme Court rulings on the necessity of reasoned orders in tax matters.,A special audit must be based on substantive discrepancies and procedural adherence.,"Supreme Court ruled in favor of the petitioner, setting aside the special audit order."
Falcon-7b,State of Punjab Vs. Surjit Singh,State of Punjab,Surjit Singh and Others,"Whether daily wage workers are entitled to equal pay under the ""Equal Pay for Equal Work"" principle.","Respondents worked as daily wagers in Punjab's Public Health Department. No proper recruitment process was followed. The High Court ruled in favor of the respondents, granting them the minimum pay scale with dearness allowance.",The High Court ruled in favor of the respondents based on prior case law.,"Opposed equal pay for daily wagers, citing procedural deficiencies in hiring. Advocated for pay parity based on continuous service.",Articles 14 and 16 of the Constitution of India.,"Service Rules of Punjab Government of ""Equal Pay for Equal Work"".",Ranbir Singh vs. State of Haryana (1998).,"Continuous employment justifies minimum pay parity, even for daily wage workers.",The Supreme Court upheld the entitlement to minimum pay scale with dearness allowance but set aside parts of the High Court ruling.
Falcon-7b,"Bengal Enamel Works Ltd Vs. Commissioner of Income-Tax, West Bengal",Bengal Enamel Works Ltd,"Commissioner of Income-Tax, West Bengal","Whether remuneration paid to Dr. Ganguly should be fully deductible under Section 10(2)(xv) of the Income-tax Act, 1922.",The company was engaged in enamelware manufacturing.The company claimed full remuneration as a deductible business expense.The Tribunal upheld the disallowance.,The Appellate Assistant Commissioner and the Tribunal confirmed the partial disallowance.,Petitioner argued that the remuneration was justified based on expertise and contribution maintained that the excess amount was not exclusively for business purposes.,"Income Tax Act, 1961.",Business expenses must be necessary and exclusively incurred for business. Section 40A(2) of the Income Tax Act.,Previous Supreme Court rulings on reasonable expenses under tax laws.,A portion of the remuneration was deemed excessive and not justified as a necessary business expense.,"The Supreme Court upheld the disallowance, agreeing that the limit set by the Tribunal was justified."
Falcon-7b,Delhi Development Authority Vs. Skipper Construction Co. Pvt. Ltd.,Delhi Development Authority,Skipper Construction Co. Pvt. Ltd.,Whether the construction company engaged in fraudulent activities and misled buyers.,"Skipper Construction Co. Pvt. Ltd. misrepresented ownership of properties and sold units without approval, causing financial harm to consumers.",The High Court found the company guilty of fraudulent practices and directed refunds to affected consumers.,The petitioner contended that fraudulent misrepresentation and lack of legal authorization made the transactions invalid.,"Consumer Protection Act, 1986; Indian Contract Act, 1872.",The court examined real estate laws and previous rulings on fraudulent transactions.,The decision followed Supreme Court precedents on consumer fraud and real estate misrepresentation.,"Fraudulent practices by real estate developers are punishable under consumer protection laws, ensuring accountability.","The Supreme Court directed refunds and penalties, reinforcing the importance of consumer rights in real estate transactions."
Falcon-7b,Union of India Vs. R. Gandhi,Union of India,R. Gandhi,Whether the establishment of NCLT and NCLAT violated the constitutional separation of powers.,The establishment of company law tribunals was challenged on the grounds that they encroached upon the judiciary’s domain.,"The High Court ruled that while the tribunals were constitutionally valid, certain procedural changes were needed to maintain independence.",Petitioner argued that the tribunals were established as per constitutional provisions.,"Companies Act, 1956; Indian Constitution (provisions related to judicial independence).",The court evaluated rules governing tribunal appointments and functions.,Past judgments on judicial independence and tribunal structure were considered.,Tribunals must function autonomously while adhering to constitutional principles.,The Supreme Court ruled that NCLT and NCLAT were valid but directed changes in appointment procedures to preserve judicial independence.
Falcon-7b,Lalita Kumari Vs. Government of Uttar Pradesh,Lalita Kumari,Government of Uttar Pradesh,Obligation of police to register an FIR in cognizable offenses.,Lalita Kumari filed a writ petition after police failed to register an FIR in a reported kidnapping case.,The High Court held that non-registration of FIRs in cognizable cases was a violation of legal duty.,The petitioner contended that police refusal to register an FIR violated legal provisions and fundamental rights.,"Code of Criminal Procedure, 1973.","Section 154 of CrPC, which outlines the duty of police officers in cognizable cases.",Previous cases related to FIR registration and police discretion in investigating offenses.,"Police officers must register FIRs for cognizable offenses, but limited discretion is allowed in certain cases.",The Supreme Court held that police must register FIRs in cognizable offenses but permitted a preliminary inquiry in select cases.
Falcon-7b,Shreya Singhal Vs. Union of India,Shreya Singhal,Union of India,Constitutionality of Section 66A of the IT Act in relation to free speech.,The petitioner challenged Section 66A after individuals were arrested for online speech.,The High Court ruled that Section 66A was essential for controlling online abuse and maintaining order.,The High Court ruled that Section 66A was essential for controlling online abuse and maintaining order.,"Information Technology Act, 2000.","Section 66A of the IT Act, which penalized online speech deemed ""offensive"" or ""annoying"".",Supreme Court judgments on freedom of speech and judicial review of vague laws.,Laws that lack clarity and enable arbitrary arrests violate the principles of free speech and due process.,"The Supreme Court invalidated Section 66A, ruling that it violated free speech and was excessively vague."
Falcon-7b,Vishaka & Ors Vs. State of Rajasthan,Vishaka & Ors,State of Rajasthan,Lack of legal framework for workplace sexual harassment and the need for judicial intervention.,"The case arose from a brutal assault on a woman at her workplace, highlighting the absence of legal protections against sexual harassment in India.","The High Court ruled that in the absence of legislation, it could not grant relief.","The High Court ruled that in the absence of legislation, it could not grant relief.","The High Court ruled that in the absence of legislation, it could not grant relief.","International conventions such as CEDAW, which India had ratified, were used to justify judicial intervention.",The case set a precedent in recognizing workplace harassment as a violation of fundamental rights.,"Protection against sexual harassment is a constitutional obligation, and guidelines are necessary until a law is enacted.","The Supreme Court issued the Vishaka Guidelines, making them binding until Parliament enacted specific legislation."
Falcon-7b,Aruna Shanbaug Vs. Union of India,Aruna Shanbaug (through journalist Pinki Virani),Union of India,Legality of withdrawing life support for patients in a permanent vegetative state.,"A nurse remained in a vegetative state for over three decades due to a violent attack, and a petition was filed to allow withdrawal of life support.",The High Court ruled against allowing euthanasia due to the absence of a legal framework.,Prolonged suffering without hope of recovery is inhumane and violates Article 21 of the Constitution.,"Constitution of India, Article 21; International laws on euthanasia.",The Court examined international laws and medical ethics regarding end-of-life care.,No existing legal precedent in India on euthanasia before this case.,"Right to life includes the right to die with dignity in extreme medical conditions, but euthanasia must be strictly regulated.",The Supreme Court ruled that passive euthanasia is permissible under regulated conditions but emphasized the need for strict procedural safeguards.
Falcon-7b,Navtej Singh Johar Vs. Union of India,Navtej Singh Johar,Union of India,Whether Section 377 IPC violates fundamental rights of LGBTQ+ individuals.,"A petition was filed against Section 377, arguing that it criminalized consensual same-sex relations and violated human dignity and privacy.",The High Court ruled in favor of LGBTQ+ rights and struck down Section 377.,"Criminalization of same-sex relations violates the rights to equality, privacy, and freedom of expression.","Indian Penal Code, Section 377; Constitution of India - Fundamental Rights.",Supreme Court examined the right to privacy and individual autonomy in light of past rulings.,Previous rulings on privacy and individual rights.,Section 377 was unconstitutional to the extent that it criminalized consensual adult relationships.,The Supreme Court ruled that Section 377 is unconstitutional when applied to consenting adults.
Falcon-7b,Maneka Gandhi Vs. Union of India,Maneka Gandhi,Union of India,Whether the government’s action violated the principles of natural justice and personal liberty.,"Maneka Gandhi’s passport was seized by the government under the Passports Act, without giving her an opportunity to be heard, raising concerns over due process.","The High Court ruled in favor of the government, stating it had authority under the law.","She argued that personal liberty includes the right to travel, and restrictions must be just, fair, and reasonable.","Constitution of India, Article 21; Passports Act, 1967.",The judiciary examined the expansion of Article 21 to include due process and procedural fairness.,Previous Supreme Court rulings on personal liberty and fundamental rights were considered.,The right to life and personal liberty must include procedural safeguards against arbitrary actions by the state.,The Supreme Court held that personal liberty cannot be curtailed arbitrarily.
