Model,Case Name,Petitioner,Respondent,Issue Presented,Facts of the Case,Ruling by Lower Court,Argument,Statute,Rules,Precedent,Ratio of the Decision,Ruling
llama2-7b-finetuned,Amarendra Komalam Vs. Usha Sinha,Amarendra Komalam,Usha Sinha,Whether res judicata bars re-litigation of previously settled issue.,Concerned renewal clause of lease deed dated 02.09.1978 already addressed previously.,High Court permitted the respondent to reopen a previously waived issue.,"Petitioner claimed res judicata, waiver, and estoppel prevented re-litigation.",Civil Procedure Code - Principles of Res Judicata.,"Order 7, Rule 11 of CPC.",SC ruling in S.L.P.(C) No. 16513/2001 cited.,Respondent waived the issue during prior court proceedings.,Supreme Court barred re-litigation due to application of res judicata.
llama2-7b-finetuned,Karnataka Rare Earth Vs. The Senior Geologist,Karnataka Rare Earth,"Senior Geologist, Karnataka",Dispute over the denial of mining lease renewal on environmental grounds.,Petitioner’s mining lease renewal rejected due to environmental concerns raised by the government.,High Court upheld the government’s decision based on environmental concerns.,"Petitioner argues that the rejection was arbitrary, citing a lack of proper process and procedural fairness.","Mines and Minerals (Development & Regulation) Act, 1957.","Rule 24A of Mineral Concession Rules, 1960.",Previous Supreme Court judgment on discretionary powers concerning mining leases.,The Supreme Court held that environmental concerns were more significant than the petitioner’s commercial interests.,Supreme Court ruled that environmental issues justified the denial of renewal of the mining lease.
llama2-7b-finetuned,Rajesh Kumar and Ors Vs. Deputy Commissioner of Income Tax and Ors,Rajesh Kumar and Ors,Deputy Commissioner of Income Tax and Ors,Legitimacy of a special audit order issued under Section 142(2A) of the Income Tax Act.,"Raid on petitioner’s premises, documents seized, and assessment order mandating a special audit.",Tribunal confirmed the validity of the special audit order.,Petitioner claimed that the special audit order lacked justifiable reasons and was arbitrary.,"Income Tax Act, 1961.",Section 142(2A) of the Income Tax Act.,Previous Supreme Court rulings on the need for reasoned orders in taxation.,The Supreme Court ruled that the special audit order was invalid due to insufficient reasoning.,"Supreme Court ruled against the special audit order, citing the absence of sufficient reasoning."
llama2-7b-finetuned,State of Punjab Vs. Surjit Singh,State of Punjab,Surjit Singh,Applicability of the equal pay for equal work doctrine.,Daily wage employees claimed equal pay to permanent employees despite irregular appointments.,"High Court ruled in favor of the employees, stating that equal pay for equal work should apply.","The State argued there was no formal recruitment process, and the appointments were irregular.",Articles 14 and 16 of the Constitution of India.,Service Rules of Punjab Government.,Ranbir Singh vs. State of Haryana.,"Employees performing similar work, even on a daily wage basis, are entitled to a minimum pay scale.","	Supreme Court upheld the High Court’s decision, favoring the employees’ claim for equal pay."
llama2-7b-finetuned,"Bengal Enamel Works Ltd Vs. Commissioner of Income-Tax, West Bengal",Bengal Enamel Works Ltd,"Commissioner of Income-Tax, West Bengal",Dispute over the taxability of technical advisor’s remuneration.,"Company paid technical advisor a profit-based remuneration, causing tax issues.",Tax authorities deemed the payments excessive and disallowed the deductions.,Petitioner claimed the remuneration was justifiable considering the advisor’s expertise.,"Income Tax Act, 1961.",Section 40A(2) of the Income Tax Act.,Precedent cases involving reasonable remuneration expenses in tax laws.,Court found the payments unreasonable and ruled against the petitioner.,Supreme Court agreed with the tax authority’s assessment and rejected the petitioner’s claims.
llama2-7b-finetuned,Delhi Development Authority Vs. Skipper Construction Co. Pvt. Ltd.,Delhi Development Authority,Skipper Construction Co. Pvt. Ltd.,Fraudulent activities in property sale by construction company.,Company unlawfully collected funds from property buyers without proper authorization.,"High Court directed refunds to buyers, ruling against the construction company.",Petitioner claimed the company misrepresented property rights and violated regulations.,"Consumer Protection Act, 1986.",Real Estate Development Rules.,Prior cases on fraudulent practices and consumer rights in property transactions.,Court ruled that fraudulent actions required the company to pay penalties and make refunds.,Supreme Court affirmed the order for refunds and imposed penalties on the company.
llama2-7b-finetuned,Union of India Vs. R. Gandhi,Union of India,R. Gandhi,Constitutionality of NCLT and NCLAT establishment.,Challenge to the constitutionality of the creation of NCLT and NCLAT by the petitioner.,High Court upheld the NCLT's constitutional validity but recommended changes in appointments.,Petitioner claimed the establishment followed constitutional provisions for tribunals.,"Companies Act, 1956.",Tribunal Rules as per Companies Act provisions.,Precedent regarding tribunal independence and separation of powers in constitutional law.,The Court emphasized the need for independent functioning of the tribunals.,Supreme Court affirmed the NCLT's validity and directed changes in the appointment process.
llama2-7b-finetuned,Lalita Kumari Vs. Government of Uttar Pradesh,Lalita Kumari,Government of Uttar Pradesh,Whether police must register FIRs in cognizable offenses without preliminary inquiry.,The petitioner’s complaint regarding police refusal to register an FIR for a cognizable offense.,High Court ruled FIR must be registered in all cognizable offenses.,Petitioner claimed that the police violated constitutional rights by failing to register an FIR.,"Code of Criminal Procedure, 1973.",Section 154 of CrPC.,Precedents that affirm FIR registration is mandatory in cognizable offenses.,The Supreme Court held that FIR must be registered in all cognizable offenses without any preliminary inquiry.,Supreme Court directed the mandatory registration of FIRs for cognizable offenses.
llama2-7b-finetuned,Shreya Singhal Vs. Union of India,Shreya Singhal,Union of India,Whether Section 66A of the Information Technology Act is unconstitutional.,Petitioner challenged Section 66A for being overly broad and violating fundamental rights.,High Court upheld Section 66A as necessary for cyber regulation.,"Petitioner claimed that Section 66A was vague, arbitrary, and violated the freedom of speech.","Information Technology Act, 2000.",Section 66A of the IT Act.,Previous Supreme Court rulings on the right to free speech under Article 19(1)(a).,"The law must not be vague, and fundamental rights cannot be restricted without clear guidelines.",Supreme Court declared Section 66A unconstitutional due to its broad and arbitrary nature.
llama2-7b-finetuned,Vishaka & Ors Vs. State of Rajasthan,Vishaka & Ors,State of Rajasthan,Whether guidelines should be framed for the prevention of workplace sexual harassment.,Petitioner sought protective measures after an employee was subjected to sexual harassment.,"High Court dismissed the PIL, citing no specific laws on workplace harassment.",The absence of specific legislation does not remove the obligation to protect rights.,"Constitution of India, Article 14, 19, 21.",Vishaka Guidelines framed by the Supreme Court.,No prior law existed to govern workplace sexual harassment.,The lack of a specific law does not absolve the state from creating protective guidelines.,Supreme Court established the Vishaka Guidelines for the prevention of workplace sexual harassment.
llama2-7b-finetuned,Aruna Shanbaug Vs. Union of India,Aruna Shanbaug (through journalist Pinki Virani),Union of India,Whether passive euthanasia should be legally permitted in India.,Petitioner sought legal intervention for withdrawal of life support for Aruna Shanbaug.,High Court ruled against the petitioner's plea for euthanasia.,Petition argued that the continuation of life support violates the dignity of the patient.,Article 21 - Right to Life.,Guidelines proposed for reviewing passive euthanasia requests.,No direct ruling on euthanasia before this case.,Passive euthanasia may be permitted under regulated conditions.,"Supreme Court allowed passive euthanasia, setting guidelines for its application."
llama2-7b-finetuned,Navtej Singh Johar Vs. Union of India,Navtej Singh Johar,Union of India,Whether Section 377 of the Indian Penal Code criminalizing consensual same-sex relations is constitutional.,Petitioner challenged the criminalization of consensual same-sex relationships under Section 377.,High Court ruled in favor of decriminalization of Section 377.,"Petitioner argued that Section 377 violated fundamental rights, including dignity and privacy.","Indian Penal Code, Section 377.",Fundamental Rights under the Constitution of India.,Previous rulings on the right to privacy and equality under the Indian Constitution.,Supreme Court upheld the decriminalization of consensual same-sex relationships.,Supreme Court decriminalized consensual same-sex relationships under Section 377.
llama2-7b-finetuned,Maneka Gandhi Vs. Union of India,Maneka Gandhi,Union of India,Whether the impoundment of Maneka Gandhi’s passport violated her personal liberty under Article 21.,"The government impounded the petitioner’s passport, and she argued it violated her right to personal liberty under Article 21.",High Court ruled in favor of the government.,"Petitioner argued that the action violated the scope of Article 21, and lacked due process.","Constitution of India, Article 21.",The law must ensure fairness and due process when restricting personal liberty.,Precedents on personal liberty and judicial interpretations of Article 21.,"The ruling expanded the scope of Article 21, emphasizing due process and fairness in state actions affecting liberty.","Supreme Court ruled in favor of the petitioner, expanding the scope of personal liberty under Article 21."
llama2-7b-finetuned,MC Mehta Vs. Union of India,MC Mehta,Union of India,Whether the company is liable for environmental pollution caused by oleum gas leakage.,The petitioner argued that the company should be held accountable for the industrial disaster.,"High Court imposed fines on the company, addressing liability for the pollution.",Petitioner argued for corporate accountability for hazardous activities and stricter environmental laws.,"Environmental Protection Act, 1986.",Strict liability and absolute liability principles for industrial activities causing harm.,Reference to the Bhopal Gas Tragedy case on environmental and corporate liability.,The introduction of the 'absolute liability' principle for industries causing environmental hazards.,Supreme Court ruled that industries must bear absolute liability for hazardous activities.
llama2-7b-finetuned,Olga Tellis Vs. Bombay Municipal Corporation,Olga Tellis,Bombay Municipal Corporation,Right to livelihood under Article 21 of the Constitution.,"Slum dwellers contested the eviction orders, arguing the loss of livelihood.",High Court favored municipal authorities in eviction matters.,Petitioner argued forced eviction violated their right to life and livelihood under Article 21.,"Constitution of India, Article 21.",Municipal regulations related to eviction.,Precedents regarding eviction and right to life in relation to shelter and livelihood.,"The right to livelihood is part of the right to life, ensuring no eviction without alternative provisions.","Supreme Court mandated that before eviction, the state must provide reasonable alternatives."
llama2-7b-finetuned,Indra Sawhney Vs. Union of India,Indra Sawhney,Union of India,Constitutionality of OBC reservations and exclusion of the 'creamy layer'.,The Mandal Commission's 27% recommendation for OBC reservation was contested on the grounds that it exceeded the reservation limit.,High Court upheld the reservation policy.,Petitioner argued that such excessive reservations were unconstitutional and violated equality.,"Constitution of India, Articles 14, 15, 16.",Government reservation policy and criteria for exclusion of the 'creamy layer'.,Past rulings on the legitimacy of affirmative action and ensuring fair representation.,"Reservations for OBCs are valid, but the 'creamy layer' must be excluded to ensure equity.",Supreme Court upheld the validity of OBC reservations while excluding the 'creamy layer' from its benefits.
llama2-7b-finetuned,Minerva Mills Ltd. Vs. Union of India,Minerva Mills Ltd.,Union of India,Balancing Directive Principles and Fundamental Rights.,Amendments to the Constitution challenged as violating the basic structure doctrine.,High Court upheld the constitutional amendments.,"Petitioner contended amendments should not destroy fundamental rights, violating the basic structure doctrine.","Constitution of India, Articles 31C, 368.",Basic structure doctrine and its application in the context of constitutional amendments.,Kesavananda Bharati Vs. State of Kerala and other precedents related to the basic structure doctrine.,Directive Principles are subservient to Fundamental Rights under the basic structure doctrine.,Supreme Court ruled that parts of the amendment violated the Constitution and were struck down.
llama2-7b-finetuned,ADM Jabalpur Vs. Shivkant Shukla,ADM Jabalpur,Shivkant Shukla,Suspension of fundamental rights during Emergency.,Detentions without trial during the Emergency raised concerns about the violation of the right to life and liberty.,"High Court favored the petitioners, asserting that fundamental rights should not be suspended during the Emergency.","Petitioner argued that fundamental rights should not be suspended, even during an Emergency.","Constitution of India, Article 359.",Legal precedents concerning the suspension of rights during national emergencies.,Precedents regarding the suspension of rights during emergencies and their legal limits.,"Fundamental rights cannot be suspended during an Emergency, with judicial oversight and protection.","Supreme Court initially upheld the suspension of fundamental rights during Emergency, though this was overruled in later judgments."
