Model,Case Name,Petitioner,Respondent,Issue Presented,Facts of the Case,Ruling by Lower Court,Argument,Statute,Rules,Precedent,Ratio of the Decision,Ruling
LLAMA2_7B,Amarendra Komalam Vs. Usha Sinha,Amarendra Komalam,Usha Sinha,Whether an issue already settled in a previous case can be re-litigated.,The dispute concerns the renewal clause of a lease agreement executed on 02.09.1978.,High Court allowed the respondent to raise the issue again.,"Petitioner argues that the issue is barred by res judicata, waiver, and estoppel.",Principles of Res Judicata under CPC.,"Order 7, Rule 11 of CPC.",Supreme Courtâ€™s decision in S.L.P.(C) No. 16513 of 2001.,The respondent had expressly given up the issue earlier.,The Supreme Court ruled that the issue cannot be re-agitated.
LLAMA2_7B,Karnataka Rare Earth Vs. The Senior Geologist,Karnataka Rare Earth,"Senior Geologist, Karnataka",Dispute over mining lease renewal.,"Petitioner was granted a mining lease, but its renewal was denied citing environmental concerns.",High Court ruled in favor of the government.,Petitioner claims arbitrary rejection and lack of due process.,"Mines and Minerals (Development & Regulation) Act, 1957.","Rule 24A of Mineral Concession Rules, 1960.",Previous Supreme Court ruling on discretionary powers in mining leases.,Environmental concerns outweigh commercial interests.,Supreme Court upheld the governmentâ€™s decision.
LLAMA2_7B,Rajesh Kumar and Ors Vs. Deputy Commissioner of Income Tax and Ors,Rajesh Kumar and Ors,Deputy Commissioner of Income Tax and Ors,Validity of a special audit order under Section 142(2A) of the Income Tax Act.,"Raid was conducted on the petitionerâ€™s premises, and certain documents were seized, leading to an assessment order requiring a special audit.",Tribunal upheld the special audit order.,Petitioner argued that there was no justification for the special audit and it was arbitrary.,"Income Tax Act, 1961.",Section 142(2A) of the Income Tax Act.,Supreme Court rulings on the necessity of reasoned orders in tax matters.,Lack of sufficient reasons for the audit order made it unsustainable.,"Supreme Court ruled in favor of the petitioner, setting aside the special audit order."
LLAMA2_7B,State of Punjab Vs. Surjit Singh,State of Punjab,Surjit Singh,Applicability of equal pay for equal work doctrine.,Daily wage employees sought equal pay as permanent employees despite irregular appointments.,High Court ruled in favor of the employees.,State argued that no recruitment process was followed and constitutional norms were not adhered to.,Articles 14 and 16 of the Constitution of India.,Service Rules of Punjab Government.,Ranbir Singh vs. State of Haryana.,Employees who worked continuously should receive minimum pay scale.,Supreme Court upheld the High Courtâ€™s decision.
LLAMA2_7B,"Bengal Enamel Works Ltd Vs. Commissioner of Income-Tax, West Bengal",Bengal Enamel Works Ltd,"Commissioner of Income-Tax, West Bengal",Tax assessment of technical advisorâ€™s remuneration.,"The company hired a technical advisor and paid him a percentage of profits, leading to a tax dispute.",Tax authorities ruled the payments as excessive and disallowed deductions.,Petitioner argued that the remuneration was justified based on expertise and contribution.,"Income Tax Act, 1961.",Section 40A(2) of the Income Tax Act.,Previous Supreme Court rulings on reasonable expenses under tax laws.,Payments made were found excessive and unjustified.,Supreme Court upheld the tax authorityâ€™s decision.
LLAMA2_7B,Delhi Development Authority Vs. Skipper Construction Co. Pvt. Ltd.,Delhi Development Authority,Skipper Construction Co. Pvt. Ltd.,Fraudulent misrepresentation in real estate transactions.,The construction company collected money from buyers without having legal authorization to sell the property.,High Court ruled in favor of the buyers and ordered refund.,Petitioner argued that the company misled consumers and violated urban planning regulations.,"Consumer Protection Act, 1986.",Real Estate Development Rules.,Previous Supreme Court rulings on consumer fraud.,Unethical business practices resulted in liability for the company.,Supreme Court ordered refunds and penalties against the construction company.
LLAMA2_7B,Union of India Vs. R. Gandhi,Union of India,R. Gandhi,Validity of setting up National Company Law Tribunal (NCLT).,The constitutional validity of creating NCLT and National Company Law Appellate Tribunal (NCLAT) was challenged.,High Court upheld the validity but suggested modifications in appointments.,Petitioner argued that the tribunals were established as per constitutional provisions.,"Companies Act, 1956.",Tribunal Rules under Companies Act.,Previous rulings on separation of powers and tribunal independence.,Tribunals must function independently while adhering to constitutional guidelines.,Supreme Court upheld the validity of NCLT but directed amendments in selection procedures.
LLAMA2_7B,Lalita Kumari Vs. Government of Uttar Pradesh,Lalita Kumari,Government of Uttar Pradesh,Mandatory registration of FIR in cognizable offenses.,The police refused to register an FIR despite a cognizable offense being reported.,High Court ruled in favor of mandatory FIR registration.,Petitioner argued that failure to register an FIR violates fundamental rights.,"Code of Criminal Procedure, 1973.",Section 154 of CrPC.,Supreme Court rulings on police duty in FIR registration.,FIR must be registered in all cognizable cases without preliminary inquiry.,Supreme Court made FIR registration mandatory for cognizable offenses.
LLAMA2_7B,Shreya Singhal Vs. Union of India,Shreya Singhal,Union of India,Constitutionality of Section 66A of the IT Act.,Section 66A of the Information Technology Act was challenged for violating free speech.,High Court upheld the provision as necessary for cyber regulation.,Petitioner argued that the law was vague and led to arbitrary arrests.,"Information Technology Act, 2000.",Section 66A of the IT Act.,Supreme Court rulings on freedom of speech under Article 19(1)(a).,Vague and broad laws cannot restrict fundamental rights.,Supreme Court struck down Section 66A as unconstitutional.
LLAMA2_7B,Vishaka & Ors Vs. State of Rajasthan,Vishaka & Ors,State of Rajasthan,Workplace sexual harassment and guidelines for prevention.,"A social organization filed a PIL after a woman was subjected to workplace sexual harassment, seeking protective measures.",High Court dismissed the plea for lack of specific legislation.,Petitioner argued that absence of a law does not negate the duty to protect fundamental rights.,"Constitution of India, Article 14, 19, 21.",Guidelines framed by Supreme Court for workplace harassment.,No prior comprehensive ruling on workplace harassment laws.,"Workplace safety is a fundamental right, and guidelines must be established.",Supreme Court laid down Vishaka Guidelines for prevention of sexual harassment.
