Model,Case Name,Petitioner,Respondent,Issue Presented,Facts of the Case,Ruling by Lower Court,Argument,Statute,Rules,Precedent,Ratio of the Decision,Ruling
SaulLM-7B,Amarendra Komalam Vs. Usha Sinha,Amarendra Komalam,Usha Sinha,Whether the principle of res judicata bars re-litigation of a settled issue.,A legal dispute regarding the enforceability of a lease renewal clause and whether a previously decided issue can be reopened.,"The High Court ruled in favor of the respondent, permitting reconsideration of the issue.","The petitioner asserts that re-litigation is impermissible under Order 7, Rule 11 of CPC and the doctrine of estoppel.",Principles of Res Judicata under CPC.,"Rejection of plaint.; Order 7, Rule 11 of CPC.",S.L.P.(C) No. 16513 of 2001 – Affirming non-re-litigation of settled issues.,"A settled issue cannot be re-agitated, as it would contradict the principle of finality in litigation.","The Supreme Court dismissed the respondent's claim, reaffirming res judicata and estoppel."
SaulLM-7B,Karnataka Rare Earth Vs. The Senior Geologist,Karnataka Rare Earth,"Senior Geologist, Department of Mines and Geology, Karnataka",Whether the denial of mining lease renewal was justified under environmental and statutory regulations.,The petitioner’s mining lease was up for renewal.,"The High Court upheld the government’s decision, emphasizing environmental protection.","The petitioner contends that the rejection was arbitrary, lacking proper justification.","Mines and Minerals (Development & Regulation) Act, 1957.","Rule 24A of Mineral Concession Rules, 1960.",Judicial precedents on the discretionary powers of the government in mining lease approvals and rejections.,Sustainable development principles and environmental.,The Supreme Court affirmed the state’s discretion.
SaulLM-7B,Rajesh Kumar and Ors Vs. Deputy Commissioner of Income Tax and Ors,Rajesh Kumar and Ors,Deputy Commissioner of Income Tax and Ors,Whether the special audit order issued under Section 142(2A) of the Income Tax Act.,"Search and seizure operations were conducted at the petitioner’s premises. Based on the seized documents, the Assessing Officer directed a special audit.",The Income Tax Appellate Tribunal (ITAT) ruled that the special audit was justified.,"The petitioner contended that the special audit order was arbitrary, lacked proper reasoning.","Income Tax Act, 1961.",Section 142(2A) of the Income Tax Act.,Judicial precedents on the requirement of a reasoned order before imposing a special audit.,The absence of adequate reasoning in the special audit order rendered it legally unsustainable.,"The Supreme Court quashed the special audit order, emphasizing the necessity of proper justification."
SaulLM-7B,State of Punjab Vs. Surjit Singh,State of Punjab,Surjit Singh,Equal pay for equal work for daily wage employees.,Daily wage workers claimed wage parity with regular staff.,High Court ruled in favor of the employees.,State contended that irregular hiring negates the claim for equal pay.,Articles 14 and 16 of the Constitution of India.,Punjab Service Rules apply.,Ranbir Singh vs. State of Haryana.,Continuous work warrants a minimum pay scale.,Supreme Court upheld the ruling.
SaulLM-7B,"Bengal Enamel Works Ltd Vs. Commissioner of Income-Tax, West Bengal",Bengal Enamel Works Ltd,"Commissioner of Income-Tax, West Bengal",Whether technical advisor fees tied to profit share qualify as a deductible expense.,"The petitioner engaged a technical advisor whose fee was a profit-linked remuneration, prompting the tax authority to challenge its reasonableness.","The lower tribunal disallowed the deduction, ruling the remuneration excessive under the Income Tax Act.","The petitioner maintained that the fee was reasonable given the advisor’s expertise, while the authorities contended it was excessive.","Income Tax Act, 1961.",Section 40A(2) of the Income Tax Act.,Established Supreme Court rulings on the reasonableness of claimed expenses under tax provisions.,The remuneration was deemed excessive relative to the service provided.,"The Supreme Court affirmed the tax authority’s decision, setting aside the deduction."
SaulLM-7B,Delhi Development Authority Vs. Skipper Construction Co. Pvt. Ltd.,Delhi Development Authority,Skipper Construction Co. Pvt. Ltd.,Whether fraudulent misrepresentation in property sales violates consumer rights.,The respondent received funds from buyers despite lacking proper legal authority to sell the property.,"The High Court sided with buyers, mandating a refund to consumers.",The petitioner maintained that the respondent's actions constituted deceptive practices under urban and consumer law.,"Consumer Protection Act, 1986.",Applicable Real Estate Development Rules.,Established Supreme Court rulings affirming consumer fraud in real estate transactions.,The court found that fraudulent and unethical practices by the respondent imposed liability under consumer law.,The Supreme Court upheld refunds for buyers and imposed penalties on the respondent for fraudulent misrepresentation.
SaulLM-7B,Union of India Vs. R. Gandhi,Union of India,R. Gandhi,Whether the establishment of NCLT and NCLAT is constitutionally valid.,The creation of NCLT/NCLAT was contested on constitutional grounds.,The High Court upheld the tribunals’ validity while recommending changes in appointment procedures.,The petitioner maintained that the tribunals were set up following the constitutional framework.,"Companies Act, 1956.",Rules governing tribunal appointments under the Companies Act.,Prior decisions on tribunal independence and the separation of powers.,The decision rests on ensuring that tribunals operate independently within constitutional limits.,The Supreme Court affirmed the validity of NCLT while mandating amendments in the appointment process.
SaulLM-7B,Lalita Kumari Vs. Government of Uttar Pradesh,Lalita Kumari,Government of Uttar Pradesh,Whether failure to register an FIR in a cognizable case violates fundamental rights.,"An FIR was not registered by the police despite the reporting of a cognizable offense, prompting a legal challenge.",The High Court upheld the principle that an FIR must be registered in all cognizable cases.,The petitioner contended that non-registration of an FIR undermines the right to legal protection under the Constitution.,"Code of Criminal Procedure, 1973.","Section 154 of the CrPC, mandating FIR registration for cognizable offenses.",Established Supreme Court precedents affirming mandatory FIR registration in cognizable cases.,The decision is based on the principle that a delay or failure to register an FIR in cognizable cases breaches legal duty.,"The Supreme Court affirmed mandatory FIR registration, ensuring police accountability in handling cognizable offenses."
SaulLM-7B,Shreya Singhal Vs. Union of India,Shreya Singhal,Union of India,Whether Section 66A of the IT Act violates the right to freedom of speech.,"Section 66A was criticized for its vague wording, leading to arbitrary restrictions on online expression.",The High Court ruled that the law was essential for maintaining order in cyberspace.,The petitioner contended that Section 66A's ambiguity resulted in excessive and unjustified censorship of online speech.,"Information Technology Act, 2000.","Section 66A, which criminalized online speech deemed ""offensive"" or ""annoying"".",Established Supreme Court rulings on the necessity of precision in laws limiting fundamental rights.,"Laws restricting free speech must be clear, precise, and meet constitutional standards.",The Supreme Court declared Section 66A unconstitutional for violating.
SaulLM-7B,Vishaka & Ors Vs. State of Rajasthan,Vishaka & Ors,State of Rajasthan,Establishing judicial guidelines to prevent workplace sexual harassment.,"A PIL was filed by Vishaka & Ors following an incident of sexual harassment at the workplace, demanding remedial guidelines.",The High Court dismissed the plea on the grounds of inadequate statutory backing.,"The petitioner contended that even without comprehensive legislation, the state has a constitutional duty to safeguard workplace rights.","Constitution of India, Article 14, 19, 21.",Consideration of emerging judicial norms for preventing workplace harassment.,Absence of a statutory framework prior to this landmark decision.,The court held that protecting employees from sexual harassment is a constitutional mandate that requires clear guidelines.,"The Supreme Court issued the Vishaka Guidelines, mandating measures to protect employees from sexual harassment."
