Model,Case Name,Petitioner,Respondent,Issue Presented,Facts of the Case,Ruling by Lower Court,Argument,Statute,Rules,Precedent,Ratio of the Decision,Ruling
GPT-J-6b,Amarendra Komalam Vs. Usha Sinha,Amarendra Komalam,Usha Sinha,Whether an issue already settled in a previous case can be re-litigated.,"The dispute concerns the renewal clause of a lease agreement executed on 02.09.1978. Despite this, the respondent has reopened the case, and the High Court allowed it.","The High Court ruled in favor of the respondent, ignoring the Supreme Court's earlier decision.","Petitioner argues that the issue is barred by res judicata, waiver, and estoppel.",Principles of Res Judicata under CPC (1908).,"Recovery of mineral price is compensatory, not penal. Order 7, Rule 11 of CPC.",Supreme Court decision in S.L.P.(C) No. 16513 of 2001.,The demand for mineral price recovery is compensatory. Marginal notes cannot be used to alter statutory interpretation. The High Court's ruling was correct in dismissing the appeals.,The Supreme Court ruled that the issue cannot be re-agitated.
GPT-J-6b,"Karnataka Rare Earth Vs. The Senior Geologist, Department of Mines and Geology and Anr",Karnataka Rare Earth and Another,"Senior Geologist, Karnataka, Department of Mines and Geology and Another",Whether the demand for the price of minerals raised and exported is a penalty or a compensatory recovery.,"The appellants challenged the demand for mineral price recovery.The court analyzed statutory interpretation principles, stating that marginal notes do not control the meaning of the section. The High Court ruled that the demand was compensatory rather than penal.","The High Court dismissed the appeals, confirming that the recovery of mineral price is compensatory.",Petitioner claims penalty and should not be enforced. ,"Mines and Minerals (Development & Regulation) Act, 1957.","Rule 24A of Mineral Concession Rules, 1960.",Previous Supreme Court ruling on discretionary powers in mining leases.,Environmental concerns outweigh commercial interests.,Supreme Court upheld the government decision.
GPT-J-6b,Rajesh Kumar and Ors Vs. Deputy Commissioner of Income Tax and Ors,Rajesh Kumar and Ors,Deputy Commissioner of Income Tax and Ors,Did the Commissioner of Income Tax correctly authorize a special audit under under Section 142(2A) of the Income Tax Act.,"The appellant, a proprietorship business, was raided by tax authorities on the petitionerâ€™s premises, and certain documents were seized, leading to an assessment order requiring a special audit. ",Tribunal upheld the special audit order.,"The appellants maintained that the special audit was unnecessary, alleging that their records did not meet the statutory complexity threshold required for such an audit. ","Income Tax Act, 1961.",The court examined whether the Commissioner’s authorization of a special audit met the statutory requirements of complexity and procedural fairness. Section 142(2A) of the Income Tax Act.,"The decision referenced legal principles that ensure special audits are not imposed arbitrarily, requiring demonstrable financial irregularities ","The ruling focused on determining whether the evidence provided by the tax authorities justified a special audit, emphasizing procedural compliance and necessity.",The case is pending before the Tribunal.
GPT-J-6b,State of Punjab Vs. Surjit Singh,State of Punjab,Surjit Singh and Others,"Whether the doctrine of ""equal pay for equal work"" applies to the respondents. Whether the appointment process and employment conditions of daily wage workers justify salary parity with regular employees.",The respondents were appointed as daily wage employees in the Public Health Department of Punjab. The respondents argued they had worked for many years and were entitled to equal pay.,High Court allowed the respondents’ writ petitions and granted them the minimum pay scale with dearness allowance.,Contended that the respondents were not appointed through a valid recruitment process and were not entitled to equal pay. Argued that they had worked continuously and deserved equal pay based on prior court rulings. were not adhered to.,Articles 14 and 16 of the Constitution of India.,"Doctrine of ""Equal Pay for Equal Work"" as upheld by the Supreme Court.",Ranbir Singh vs. State of Haryana(1998).,"The principle of ""Equal Pay for Equal Work"" applies when workers perform the same duties regardless of their employment status.","The Supreme Court set aside the High Court judgment, but upheld the respondents' entitlement to the minimum pay scale with dearness allowance."
GPT-J-6b,"Bengal Enamel Works Ltd Vs. Commissioner of Income-Tax, West Bengal",Bengal Enamel Works Ltd,"Commissioner of Income-Tax, West Bengal","Whether the disallowance of a portion of remuneration paid to Dr. Ganguly as a permissible deduction under Section 10(2)(xv) of the Income-tax Act, 1922, is justified.","The company was engaged in manufacturing enamelware and hired a technical advisor and paid him a percentage of profits, leading to a tax dispute.",The Tribunal ruled that the payments as excessive and disallowed deductions.,Petitioner argued that the the entire remuneration was a legitimate business expense and should be deducted from taxable income.,"Income Tax Act, 1961.",Business expenses must be wholly and exclusively incurred for the purpose of the business to qualify for deduction. Section 40A(2) of the Income Tax Act.,Previous Supreme Court rulings on reasonable expenses under tax laws.,"The Tribunal justified the partial disallowance of remuneration, reasoning that the amount claimed was excessive and not entirely for business purposes.","The Supreme Court upheld the Tribunal’s decision, affirming that the disallowance of part of Dr. Ganguly’s remuneration was justified."
GPT-J-6b,Delhi Development Authority Vs. Skipper Construction Co. Pvt. Ltd.,Delhi Development Authority,Skipper Construction Co. Pvt. Ltd.,Fraudulent misrepresentation in real estate transactions and violations of consumer rights.,"The construction company collected money from buyers for properties they had no legal right to sell, leading to financial losses for buyers.","The High Court ruled in favor of the buyers, ordering the company to refund the collected money.","The petitioner argued that the construction company misled consumers, collected money without ownership rights, and violated urban planning and consumer protection laws.","Consumer Protection Act, 1986; Real Estate Regulation Laws.",Real Estate Development Rules and consumer rights protections were enforced against the company.,The ruling reinforced past Supreme Court decisions against fraudulent real estate practices.,"The company’s unethical business practices led to legal liability, and consumer protection laws were applied to safeguard buyers.","The Supreme Court upheld the High Court’s decision, ordering the company to refund buyers and imposing penalties for misrepresentation."
GPT-J-6b,Union of India Vs. R. Gandhi,Union of India,R. Gandhi,The constitutional validity of the National Company Law Tribunal (NCLT) and National Company Law Appellate Tribunal (NCLAT).,"The respondent challenged the formation of NCLT and NCLAT, arguing that they undermined judicial independence and the separation of powers.","The respondent challenged the formation of NCLT and NCLAT, arguing that they undermined judicial independence and the separation of powers.",The petitioner contended that the establishment of NCLT and NCLAT was within the powers granted by the Constitution and aimed at improving efficiency in company law matters.,"Companies Act, 1956; Constitutional provisions on tribunal formation.",Tribunal Rules under the Companies Act were examined to assess compliance with constitutional requirements.,The ruling was based on previous Supreme Court decisions on the separation of powers and judicial independence.,The tribunals were deemed valid but needed safeguards to ensure independence from executive interference.,The Supreme Court upheld the establishment of NCLT and NCLAT but mandated amendments in the selection and appointment process to ensure judicial independence.
GPT-J-6b,Lalita Kumari Vs. Government of Uttar Pradesh,Lalita Kumari,Government of Uttar Pradesh,Whether FIR registration is mandatory for all cognizable offenses.,"The police refused to register an FIR despite a cognizable offense being reported, leading to a legal challenge.","The police refused to register an FIR despite a cognizable offense being reported, leading to a legal challenge.",The petitioner argued that failure to register an FIR violates fundamental rights and allows police discretion that may lead to injustice.,"Code of Criminal Procedure, 1973.","Section 154 of CrPC, which mandates the registration of an FIR for cognizable offenses.",Supreme Court judgments on police duty in FIR registration and procedural fairness.,Supreme Court judgments on police duty in FIR registration and procedural fairness.,"The Supreme Court ruled that FIR registration is mandatory for all cognizable offenses, with limited exceptions where preliminary inquiry may be conducted."
GPT-J-6b,Shreya Singhal Vs. Union of India,Shreya Singhal,Union of India,Whether Section 66A of the IT Act violates the right to free speech.,The Information Technology Act was challenged for being vague and leading to arbitrary arrests.,Section 66A of the Information Technology Act was challenged for being vague and leading to arbitrary arrests.,"The petitioner argued that the law was vague, overbroad, and violated the fundamental right to free speech.","Information Technology Act, 2000.","Section 66A of the IT Act, which criminalized sending offensive messages online.","Supreme Court cases on free speech, including those interpreting.","A law that is vague, overbroad, and lacks clear guidelines cannot restrict fundamental rights.",The Supreme Court struck down Section 66A as unconstitutional.
GPT-J-6b,Vishaka & Ors Vs. State of Rajasthan,Vishaka & Ors,State of Rajasthan,Whether the absence of specific legislation on workplace sexual harassment violates fundamental rights.,"A PIL was filed by Vishaka, a social organization, after a woman was subjected to workplace sexual harassment. The petition sought legal protections and preventive measures.","High Court dismissed the plea, stating that no specific law governed workplace harassment.","High Court dismissed the plea, stating that no specific law governed workplace harassment.","Constitution of India, Article 14, 19, 21.",Supreme Court guidelines on fundamental rights and equality.,No comprehensive ruling on workplace harassment laws existed before this case.,"Workplace safety is a fundamental right, and in the absence of legislation, the court must frame guidelines.","The Supreme Court laid down the Vishaka Guidelines, mandating preventive measures for workplace harassment."
