Case Name,Petitioner,Respondent,Issue Presented,Facts of the Case,Ruling by Lower Court,Argument,Statute,Rules,Precedent,Ratio of the Decision,Ruling
MC Mehta Vs. Union of India (Taj Trapezium Case),MC Mehta (Environmental Activist & Lawyer),Union of India,Whether industrial pollution near the Taj Mahal necessitates the relocation of polluting industries to protect the monument.,"The Taj Mahal was suffering from pollution caused by industries in the surrounding Taj Trapezium Zone, affecting the monument’s integrity.",High Court ordered that industries in the Taj Trapezium Zone should implement pollution control measures.,Petitioner argued for the relocation of polluting industries to protect the Taj Mahal.,"Environmental Protection Act, 1986, and associated air and water pollution control rules.","Air and Water Pollution Control Rules, focusing on industrial pollution control.",Prior rulings and guidelines concerning environmental protection and conservation of heritage sites like the Taj Mahal.,Protection of heritage sites prevails over industrial interests in public interest cases.,Supreme Court ordered the relocation of polluting industries around the Taj Mahal.
Amarendra Komalam Vs. Usha Sinha,Amarendra Komalam,Usha Sinha,Whether a matter that has already been decided in a previous case can be reopened for further litigation.,"The issue concerns the renewal clause of a lease from 1978, and whether it can be revisited after being previously decided.","The High Court ruled that the issue, even if previously settled, can be re-litigated.","The petitioner argued that the matter is barred by principles such as res judicata, which prevent re-litigation of settled matters.","Code of Civil Procedure, specifically res judicata principles under Section 11.","The plaint was rejected under Order 7, Rule 11 of CPC due to prior adjudication of the matter.","Previous rulings reinforcing the doctrine of res judicata, which bars the reopening of settled legal issues.","The issue cannot be re-agitated due to res judicata, reaffirming finality in judicial decisions.","The Supreme Court ruled in favor of the petitioner, applying the res judicata doctrine to prevent the re-litigation of the issue."
Aruna Shanbaug Vs. Union of India,Aruna Shanbaug (through journalist Pinki Virani),Union of India,Whether passive euthanasia should be allowed in India under regulated circumstances.,"A nurse remained in a vegetative state for over 30 years, leading to a plea for withdrawal of life support.",High Court rejected the petition for passive euthanasia.,Petitioner argued that prolonged suffering with no scope of recovery violates dignity.,Article 21 - Right to Life.,Regulations required a Medical Board’s review and approval before granting passive euthanasia.,This case set a precedent for future legal discourse on euthanasia in India.,Passive euthanasia allowed with strict guidelines and medical board approval.,"Supreme Court legalized passive euthanasia, emphasizing strict procedural safeguards."
Sarla Mudgal Vs. Union of India,Sarla Mudgal,Union of India,Whether a Hindu man converting to Islam for the sole purpose of marrying a second wife while still married under Hindu law is valid.,"The petitioner argued that the conversion to Islam for bigamy purposes should not be allowed, as it undermines the provisions of Hindu law regarding marriage.",The High Court ruled that the second marriage was valid under Muslim personal law despite the conversion for bigamy.,Petitioner argued that conversion to Islam solely for bigamy purposes should not be permitted.,"Hindu Marriage Act, 1955, and relevant personal laws concerning marriage.","Laws restricting bigamy, including provisions under the Hindu Marriage Act, 1955.","Previous decisions concerning personal laws, marriage, and conversion for the purpose of evading laws.",Conversion for the purpose of evading personal law restrictions is not permissible.,Supreme Court ruled that conversion to Islam does not automatically nullify a Hindu marriage.
Naz Foundation Vs. Government of NCT of Delhi,Naz Foundation,Government of NCT of Delhi,"Whether the IPC, which criminalizes consensual same-sex relationships, violates fundamental rights.","The petitioner challenged Section 377, claiming that criminalizing homosexuality violates fundamental rights including dignity and privacy.",The Delhi High Court decriminalized homosexuality by ruling Section 377 unconstitutional on grounds of fundamental rights.,"The petitioner contended that Section 377 violated the right to privacy, dignity, and equality.","Indian Penal Code, 1860.","Articles 14, 15, 19, and 21, providing a constitutional basis for challenging discriminatory laws.","Prior cases concerning personal liberty, dignity, and equality, and privacy under the Constitution.","The Delhi High Court struck down as unconstitutional, recognizing the right to privacy and equality for same-sex relationships.","Delhi High Court decriminalized homosexuality, but the ruling was later overturned by the Supreme Court in 2013 (later restored in Navtej Johar case in 2018)."
State of Tamil Nadu Vs. K. Balu,State of Tamil Nadu,K. Balu,Whether allowing the sale of liquor near highways poses a significant threat to public safety due to the risk of drunk driving.,The petitioner argued that unrestricted liquor sales along highways were contributing to increased road accidents and drunk driving.,"The High Court upheld the state’s policy regarding liquor sales near highways, allowing continued sales.",Petitioner argued that unrestricted liquor sales along highways posed a serious risk to public safety.,"Motor Vehicles Act, 1988, addressing road safety and public welfare.","Road safety measures related to the sale of liquor near highways, focusing on reducing drunk driving accidents.","Prior rulings on the regulation of alcohol sales, particularly in relation to traffic safety.",The Supreme Court ruled in favor of banning liquor shops.,Supreme Court ordered a ban on liquor shops within 500 meters of highways.
Shabnam Vs. Union of India,Shabnam,Union of India,Whether the inordinate delay in deciding a mercy petition violates the rights of a death row convict.,"Shabnam, convicted for murder, argued that the prolonged delay in deciding her mercy petition violated her constitutional right to life and dignity.","High Court ruled against the petitioner, upholding the death sentence.",Petitioner argued that undue delay in deciding mercy petitions violates Article 21.,"Constitution of India, Article 21.","Rights of death row convicts, including the right to be free from cruel.",Earlier rulings on the need for timely decisions on mercy petitions and delays in death penalty cases.,The Supreme Court held that prolonged delays in mercy petition decisions amount to cruel and inhumane treatment.,Supreme Court commuted the petitioner's death sentence to life imprisonment due to inordinate delay.
Vellore Citizens Welfare Forum Vs. Union of India,Vellore Citizens Welfare Forum,Union of India,Whether tanneries in Tamil Nadu are polluting water sources and violating environmental and public health laws.,"The case involves tanneries in Tamil Nadu were polluting water sources, causing severe environmental damage and affecting public health.",High Court ordered compensation for affected individuals.,The petitioner urged that industries causing environmental damage should bear the costs of environmental cleanup and compensation.,"Environmental Protection Act, 1986.",The Polluter Pays Principle and Precautionary Principle.,Prior cases on environmental responsibility and corporate accountability in pollution control.,"The Court applied the Polluter Pays Principle, holding that industries must compensate for environmental harm.",The Court applied the Polluter Pays Principle and ordered compensation and stricter regulations.
Maneka Gandhi Vs. Union of India,Maneka Gandhi,Union of India,Whether the impounding of a passport without valid reason violates the scope of personal liberty.,"Maneka Gandhi’s passport was confiscated by the government without providing a valid reason, impacting her right to personal liberty.","The High Court upheld the government’s action, dismissing the violation of personal liberty claims.","The petitioner argued that the government’s action violated the principles of fairness, due process, and personal liberty.","Constitution of India, Article 21.","Passports Act, 1967.",Previous cases regarding personal liberty under Article 21 and natural justice principles.,A restriction on personal liberty must follow the principles of fairness and due process.,"Supreme Court ruled in favor of the petitioner, expanding the scope of Article 21."
Minerva Mills Ltd. Vs. Union of India,Minerva Mills Ltd.,Union of India,Balancing Directive Principles and Fundamental Rights.,Amendments to the Constitution were challenged for violating the basic structure doctrine.,High Court upheld the constitutional amendments.,Petitioner argued that amendments cannot destroy fundamental rights.,"Constitution of India, Articles 31C, 368.","The principle that constitutional amendments must not alter the ""basic structure"" of the Constitution.","Kesavananda Bharati Vs. State of Kerala, establishing the ""basic structure"" doctrine.",Directive Principles cannot override Fundamental Rights.,"Struck down parts of the amendments, reaffirming the basic structure doctrine."
Ram Jawaya Kapur Vs. State of Punjab,Ram Jawaya Kapur,State of Punjab,Whether the executive has the authority to act in areas where legislative authorization is absent.,The petitioner challenged the state's executive action in operating a business without specific legislative backing.,"The High Court upheld the government’s action, affirming that the executive can act in matters not specifically legislated.",The petitioner contended that executive power should be constrained by the legislature's explicit authorization.,"Constitution of India, Article 162.",Separation of powers between the executive and legislature.,Previous rulings on the scope and limitations of executive power under the Constitution.,"The scope of executive power includes areas not explicitly legislated by the legislature, within constitutional boundaries.",The Supreme Court confirmed that the executive power is broad and can extend to areas without specific legislative authorization.
Common Cause Vs. Union of India,Common Cause,Union of India,Whether passive euthanasia and living wills should be legalized under the right to life and personal liberty.,The case involved the petitioner's plea for recognizing the right to passive euthanasia and living wills.,The High Court did not allow the recognition of passive euthanasia and living wills.,The petitioner argued that the right to life includes the right to die with dignity and to make decisions regarding end-of-life care.,"Constitution of India, Article 21 - Right to Life and Personal Liberty.",Passive euthanasia and living wills in the context of individual autonomy and dignity.,"The Aruna Shanbaug case on euthanasia, which addressed the moral and legal issues surrounding end-of-life decisions.",Passive euthanasia and living wills are constitutionally valid as a part of the right to live with dignity.,"The Supreme Court recognized the right to passive euthanasia and living wills under the right to life, ensuring dignity in death."
Indian Young Lawyers Association Vs. State of Kerala (Sabarimala Case),Indian Young Lawyers Association,State of Kerala,Whether the ban on the entry of women of menstruating age into Sabarimala Temple violates gender equality.,The petitioner argued that the restriction on women violated constitutional rights to equality and freedom of religion.,"The High Court upheld the temple's restriction, defending it under religious freedom.",The petitioner argued that religious customs cannot override constitutional guarantees of equality and non-discrimination.,"Constitution of India, Articles 14, 15, 25.",The intersection of gender equality and religious freedom under constitutional rights.,"Previous rulings on gender equality, religious practices, and constitutional rights.","Religious practices must not infringe on fundamental constitutional rights, especially gender equality.","The Supreme Court ruled in favor of the petitioner, allowing women of menstruating age to enter the Sabarimala Temple."
Lily Thomas Vs. Union of India,Lily Thomas,Union of India,"Whether the Representation of the People Act, allowing convicted legislators to retain office during appeal, is valid.","The petitioner argued that convicted legislators should be disqualified immediately, not allowed to remain in office during an appeal.",The High Court upheld Section 8(4) of the Representation of the People Act.,The petitioner argued that allowing convicted legislators to continue in office undermines democratic principles and governance integrity.,"Representation of the People Act, 1951.",Disqualification laws for legislators and their impact on governance integrity.,Previous judgments on the disqualification of convicted legislators.,Convicted legislators should be disqualified immediately to uphold democratic principles and integrity in governance.,"The Supreme Court struck down Section 8(4), holding that convicted legislators should be immediately disqualified."
State of Karnataka Vs. Krishna Kumar,State of Karnataka,Krishna Kumar,Whether the state's education policy that denies reservations to a certain category of students is valid under the Constitution.,The petition challenged the state's education policy that excluded certain categories from receiving reservations.,The High Court ruled that the exclusion from reservations violated the right to education for certain students.,The petitioner claimed that financial and administrative constraints justified excluding certain students from reservation policies.,"Constitution of India, Article 21A.",Reservation policies in education as laid down by the Constitution and legislative framework.,Previous rulings on reservations and the application of affirmative action policies in education.,The Court ruled that the right to education is fundamental and reservations must be applied equitably to all eligible students.,The Supreme Court affirmed the need for fair and inclusive reservation policies in the state's educational system.
Rajesh Kumar and Ors Vs. Deputy Commissioner of Income Tax and Ors,Rajesh Kumar and Ors,Deputy Commissioner of Income Tax and Ors,Whether the special audit order under Section 142(2A) of the Income Tax Act is valid and justified.,"A raid on the petitioner's premises led to seized documents, and an assessment order mandated a special audit.","The Tribunal upheld the special audit order, dismissing the petitioner's arguments.","The petitioner contended that the special audit was unnecessary, arbitrary, and lacked proper justification.","Income Tax Act, 1961; Section 142(2A).","Section 142(2A) of the Income Tax Act, concerning the conditions under which a special audit can be ordered.",Previous Supreme Court decisions affirming that tax authorities must provide sufficient reasons for audit orders.,"The Court ruled that the audit order lacked sufficient reasoning, making it unsustainable.",The Supreme Court set aside the special audit order due to insufficient justification for its necessity.
Puttaswamy Vs. Union of India,Justice K. S. Puttaswamy (Retd.),Union of India,Whether the Aadhaar scheme violates the fundamental right to privacy by collecting biometric and personal data.,"The petitioner challenged the Aadhaar scheme, arguing that it infringes on the right to privacy by mandating the collection of biometric data.",The High Court upheld the constitutionality of the Aadhaar scheme.,The petitioner contended that the right to privacy is integral to the right to life and personal liberty.,"Constitution of India, Article 21.",Fundamental Rights under Article 21 and concerns about data protection laws.,"Previous rulings on individual autonomy, surveillance, and the extent of state intervention in personal privacy.",The Supreme Court ruled that the right to privacy is constitutionally guaranteed as part of the right to life and liberty.,The Supreme Court unanimously declared that the right to privacy is a fundamental right under Article 21 of the Indian Constitution.
Laxmi Vs. Union of India,Laxmi,Union of India,Regulation of acid sales and the need for better victim compensation.,A PIL was filed urging for stricter regulation on acid sales and better compensation for acid attack victims.,The High Court recommended stricter enforcement of current acid sale regulations but did not impose new laws.,"The petitioner argued that easy availability of acid led to attacks, and victims were not sufficiently supported.","Constitution of India, Article 21.",Need for stricter regulations on acid sales and better victim rehabilitation programs.,Previous rulings on women's safety and adequate compensation for victims of violence.,Stricter regulations on the sale of acid and enhanced compensation for victims of acid attacks were mandated.,The Supreme Court ordered the government to enforce stricter regulations on acid sales.
Tamil Nadu Govt. Vs. Union of India,Tamil Nadu Govt.,Union of India,Dispute over the central government's authority over state education policies.,The Tamil Nadu government contested the applicability of central education laws in state jurisdiction.,The High Court upheld the central government's authority in the matter of education policy.,The petitioner argued that education is a state subject and that the central government's laws overstep constitutional limits.,"Constitution of India, Seventh Schedule.",Federalism and distribution of education responsibilities between the state and central government.,Past cases where the balance between state and central powers in education policy was debated.,Education is a subject where both state and central governments have roles.,The Supreme Court upheld the central government's authority but allowed states to have flexibility in how laws are implemented.
